Train_Number,Timestamp,Brake_Temperature_C,Axle_Vibration_mms,Wheel_Wear_Percent,Engine_Load_Percent,Battery_Voltage_V,Fuel_Efficiency_kmL
10103,2026-03-02T10:52:43.331400,30.05,1.63,29.82,97.45,13.15,4.91
10104,2026-03-02T10:53:43.331400,34.0,0.43,60.75,96.27,11.18,3.82
10111,2026-03-02T10:54:43.331400,91.25,3.56,76.24,45.99,10.95,4.25
10112,2026-03-02T10:55:43.331400,33.52,0.2,57.67,76.99,12.65,4.48
10215,2026-03-02T10:56:43.331400,55.44,3.34,63.3,63.07,12.18,2.61
10216,2026-03-02T10:57:43.331400,51.1,2.29,82.93,98.38,11.15,4.55
10217,2026-03-02T10:58:43.331400,75.93,3.96,77.82,64.75,10.94,2.14
10218,2026-03-02T10:59:43.331400,85.8,1.14,14.68,50.2,12.54,3.22
12345,2026-03-02T11:00:43.331400,51.53,2.36,65.82,57.51,12.56,4.26
12346,2026-03-02T11:01:43.331400,101.57,2.27,46.04,54.19,13.64,2.53
10103,2026-03-02T11:02:43.331400,116.98,2.43,75.51,46.81,13.78,2.96
10104,2026-03-02T11:03:43.331400,41.12,3.71,71.63,44.16,10.93,4.96
10111,2026-03-02T11:04:43.331400,40.55,1.77,89.13,43.82,12.27,3.99
10112,2026-03-02T11:05:43.331400,38.96,1.35,64.22,98.69,12.48,4.81
10215,2026-03-02T11:06:43.331400,67.96,3.42,34.53,88.58,14.2,4.65
10216,2026-03-02T11:07:43.331400,91.34,0.31,88.42,67.55,11.94,4.55
10217,2026-03-02T11:08:43.331400,104.36,1.19,57.0,98.81,11.81,2.15
10218,2026-03-02T11:09:43.331400,116.16,3.69,86.16,87.55,13.42,4.84
12345,2026-03-02T11:10:43.331400,41.73,2.03,78.34,58.66,11.4,3.51
12346,2026-03-02T11:11:43.331400,50.48,3.48,14.34,41.19,12.23,4.52
10103,2026-03-02T11:12:43.331400,55.7,3.87,51.44,62.66,10.83,4.01
10104,2026-03-02T11:13:43.331400,57.35,2.62,34.68,64.14,13.01,4.59
10111,2026-03-02T11:14:43.331400,39.36,0.74,49.73,84.28,13.18,4.97
